D,Language,"_raw","_time",action,app,author,c,checkemail,clientip,d,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",dir,"doing_wp_cron",eventtype,host,index,linecount,load,p,pagenow,plugin,"plugin_search_input",protocol,punct,reauth,"redirect_to",s,"settings_updated",source,sourcetype,"splunk_server","splunk_server_group",step,submit,tab,tag,"tag::eventtype",test,theme,timeendpos,timestartpos,username,ver,widget,wpnonce
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/load-scripts.php?c=0&load=jquery,utils&ver=edec3fab0cb6297ea474806db1895fa7 HTTP/1.1"" 200 33792","2014-05-24T23:53:42.000-0700",,,,0,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,jquery,,,,,,"..._-_-_[//:::_-]_""_/-/-.?=&=,&=_/.""__",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,edec3fab0cb6297ea474806db1895fa7,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/load-styles.php?c=0&dir=ltr&load=wp-jquery-ui-dialog&ver=3e676db9ea65504c756e11cf9a70be9e HTTP/1.1"" 200 1091","2014-05-24T23:53:42.000-0700",,,,0,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",ltr,,,Network2HP,main,1,"wp-jquery-ui-dialog",,,,,,"..._-_-_[//:::_-]_""_/-/-.?=&=&=---&=_/.""__",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,3e676db9ea65504c756e11cf9a70be9e,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-includes/css/editor-buttons.css?ver=20111114 HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//-.?=_/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,20111114,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/images/media-button.png?ver=20111005 HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//-.?=_/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,20111005,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/images/wpspin_light.gif HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//._/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/images/generic.png HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//._/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-includes/js/tinymce/langs/wp-langs-en.js?ver=345-20111127 HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-////--.?=-_/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,"345-20111127",,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-includes/js/tinymce/tiny_mce.js?ver=345-20111127 HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-///.?=-_/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,"345-20111127",,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/js/media-upload.js?ver=20110930 HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//-.?=_/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,20110930,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-admin/js/editor.js?ver=20111117 HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//.?=_/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,20111117,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-includes/js/thickbox/thickbox.css?ver=20111117 HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-///.?=_/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,20111117,,
,,"96.55.197.75 - - [24/May/2014:23:53:42 -0700] ""GET /wp-includes/js/thickbox/thickbox.js?ver=3.1-20111117 HTTP/1.1"" 304 -","2014-05-24T23:53:42.000-0700",,,,,,"96.55.197.75",,23,24,53,may,42,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-///.?=.-_/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,"3.1-20111117",,
,,"96.55.197.75 - - [24/May/2014:23:53:41 -0700] ""GET /wp-admin/ HTTP/1.1"" 200 15013","2014-05-24T23:53:41.000-0700",,,,,,"96.55.197.75",,23,24,53,may,41,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-/_/.""__",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
